Title,Authors
"REGIONAL VARIATION IN MERCURY AND STABLE ISOTOPES OF RED SNAPPER (LUTJANUS CAMPECHANUS) IN THE NORTHERN GULF OF MEXICO, USA","Sluis, Michelle Zapp; Boswell, Kevin M.; Chumchal, Matthew M.; Wells, R. J. David; Soulen, Brianne; Cowan, James H., Jr."
A comparison of size and age of red snapper (Lutjanus campechanus) with the age of artificial reefs in the northern Gulf of Mexico,"Syc, Tara S.; Szedlmayer, Stephen T."
"Imprudent fishing harvests and consequent trophic cascades on the West Florida shelf over the last half century: A harbinger of increased human deaths from paralytic shellfish poisoning along the southeastern United States, in response to oligotrophication?","Walsh, J. J.; Tomas, C. R.; Steidinger, K. A.; Lenes, J. M.; Chen, F. R.; Weisberg, R. H.; Zheng, L.; Landsberg, J. H.; Vargo, G. A.; Heil, C. A."
"Seasonality, lunar periodicity of settlement and microhabitat association of juvenile humpback red snapper Lutjanus gibbus (Lutjanidae) in an Okinawan coral reef","Nanami, Atsushi; Yamada, Hideaki"
"Declining size at age among red snapper in the northern Gulf of Mexico off louisiana, USA: Recovery or collapse?","Nieland, David L.; Wilson, Charles A., III; Fischer, Andrew J."
Assessing reproductive resilience: an example with South Atlantic red snapper Lutjanus campechanus,"Lowerre-Barbieri, Susan; Crabtree, Laura; Switzer, Theodore; Burnsed, Sarah Walters; Guenther, Cameron"
Release mortality in the red snapper (Lutjanus campechanus) fishery: a meta-analysis of 3 decades of research,"Campbell, Matthew D.; Driggers, William B., III; Sauls, Beverly; Walter, John F."
Designing marine reserves to reduce bycatch of mobile species: a case study using juvenile red snapper (Lutjanus campechanus),"Diamond, Sandra L.; Kleisner, Kristin M.; Duursma, Daisy Englert; Wang, Yuning"
Habitat use and the effect of shrimp trawling on fish and invertebrate communities over the northern Gulf of Mexico continental shelf,"Wells, R. J. David; Cowan, James H., Jr.; Patterson, William F., III"
A cage release method to improve fish tagging studies,"Williams, Laura Jay; Herbig, Jennifer L.; Szedlmayer, Stephen T."
"Influence of Age-1 Conspecifics, Sediment Type, Dissolved Oxygen, and the Deepwater Horizon Oil Spill on Recruitment of Age-0 Red Snapper in the Northeast Gulf of Mexico during 2010 and 2011","Szedlmayer, Stephen T.; Mudrak, Peter A."
EFFECTS OF AN INSHORE ARTIFICIAL REEF ON THE TROPHIC DYNAMICS OF THREE SPECIES OF ESTUARINE FISH,"Simonsen, Kirsten A.; Cowan, James H., Jr."
Recent Geological Events and Intrinsic Behavior Influence the Population Genetic Structure of the Chiru and Tibetan Gazelle on the Tibetan Plateau,"Zhang, Fangfang; Jiang, Zhigang; Xu, Aichun; Zeng, Yan; Li, Chunwang"
Evaluating the Performance of Vertical Longlines to Survey Reef Fish Populations in the Northern Gulf of Mexico,"Gregalis, Kevan C.; Schlenker, Lela S.; Drymon, J. Marcus; Mareska, John F.; Powers, Sean P."
"Habitat use, growth, and mortality of post-settlement lane snapper (Lutjanus synagris) on natural banks in the northwestern Gulf of Mexico","Mikulas, Joseph J., Jr.; Rooker, Jay R."
Estimation of potential impacts from offshore liquefied natural gas terminals on red snapper and red drum fisheries in the Gulf of Mexico: An alternative approach,"Gallaway, Benny J.; Gazey, William J.; Cole, John G.; Fechhelm, Robert G."
Fish attraction to artificial reefs not always harmful: a simulation study,"Smith, James A.; Lowry, Michael B.; Suthers, Iain M."
"Habitat Use by Juvenile Red Snapper in the Northern Gulf of Mexico: Ontogeny, Seasonality, and the Effects of Hypoxia","Switzer, Theodore S.; Chesney, Edward J.; Baltz, Donald M."
Influences of Artificial Reefs on Juvenile Red Snapper along the Mississippi Gulf Coast,"Brandt, Jason R.; Jackson, Donald C."
"Validation of annual periodicity in otoliths of red snapper, Lutjanus campechanus","Szedlmayer, Stephen T.; Beyer, Sabrina G."
Rapid assessment of fish communities on submerged oil and gas platform reefs using remotely operated vehicles,"Ajemian, Matthew J.; Wetz, Jennifer Jarrell; Shipley-Lozano, Brooke; Stunz, Gregory W."
"Habitat differences in the feeding ecology of red snapper (Lutjanus campechanus, Poey 1860): a comparison between artificial and natural reefs in the northern Gulf of Mexico","Simonsen, Kirsten A.; Cowan, James H., Jr.; Boswell, Kevin M."
Data Availability for Red Snapper in Gulf of Mexico and Southeastern US Atlantic Ocean Waters,"Rindone, R. Ryan; Kellison, G. Todd; Bortone, Stephen A."
Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T."
An Individual-Based Model of Ontogenetic Migration in Reef Fish Using a Biased Random Walk,"Saul, Steven; Die, David; Brooks, Elizabeth N.; Burns, Karen"
The Artificial Habitat as an Accessory for Improving Estimates of Juvenile Reef Fish Abundance in Fishery Management,"Szedlmayer, Stephen T."
Fish assemblage structure on a drowned barrier island in the northwestern Gulf of Mexico,"Wells, R. J. David; Harper, J. O.; Rooker, J. R.; Landry, A. M., Jr.; Dellapenna, T. M."
Acoustic positioning and movement patterns of red snapper Lutjanus campechanus around artificial reefs in the northern Gulf of Mexico,"Williams-Grove, Laura Jay; Szedlmayer, Stephen T."
Spatial and Dietary Overlap Creates Potential for Competition between Red Snapper (Lutjanus campechanus) and Vermilion snapper (Rhomboplites aurorubens),"Davis, William T.; Drymon, J. Marcus; Powers, Sean P."
Genetic analysis of Lutjanus synagris populations in the Colombian Caribbean,"Landinez-Garcia, R. M.; Ospina-Guerrero, S. P.; Rodriguez-Castro, D. J.; Arango, R.; Marquez, E."
Artificial reefs as fishery conservation tools: Contrasting the roles of offshore structures between the Gulf of Mexico and the Southern California bight,"Scarborough-Bull, Ann; Love, Milton S.; Schroeder, Donna M."
Survey of fish assemblages and habitat within two marine protected areas on the West Florida shelf,"Gledhill, C; David, A"
Red snapper (Lutjanus campechanus) diet in the North-Central Gulf of Mexico on Alabama artificial reefs,"Mccawley, JR; Cowan, JH; Shipp, RL"
Seasonal and sex differences in energy reserves of red snapper Lutjanus campechanus on natural and artificial reefs in the northwestern Gulf of Mexico,"Schwartzkopf, Brittany D.; Cowan, James H., Jr."
"Examining the Behavior, Management Preferences, and Sociodemographics of Artificial Reef Users in the Gulf of Mexico Offshore from Texas","Schuett, Michael A.; Ding, Chen; Kyle, Gerard; Shively, J. Dale"
Using Fish Population Metrics to Compare the Effects of Artificial Reef Density,"Froehlich, Catheline Y. M.; Kline, Richard J."
Two Shelf-Edge Marine Protected Areas in the Eastern Gulf of Mexico,"Allee, Rebecca J.; David, Andrew W.; Naar, David F."
Introduction to the Role Artificial Reefs Play in Fisheries Management,"Bortone, Stephen A."
The webbing reef: A tool used in the study of juvenile red snapper (Lutjanus campechanus),"Workman, IK; Foster, DG"
"Comparing relative abundance, lengths, and habitat of temperate reef fishes using simultaneous underwater visual census, video, and trap sampling","Bacheler, Nathan M.; Geraldi, Nathan R.; Burton, Michael L.; Munoz, Roldan C.; Kellison, G. Todd"
"Depth preferences and three-dimensional movements of red snapper, Lutjanus campechanus, on an artificial reef in the northern Gulf of Mexico","Williams-Grove, Laura Jay; Szedlmayer, Stephen T."
Temporal and spatial comparisons of the reproductive biology of northern Gulf of Mexico (USA) red snapper (Lutjanus campechanus) collected a decade apart,"Kulaw, Dannielle H.; Cowan, James H., Jr.; Jackson, Melissa W."
Timing and locations of reef fish spawning off the southeastern United States,"Farmer, Nicholas A.; Heyman, William D.; Karnauskas, Mandy; Kobara, Shinichi; Smart, Tracey I.; Ballenger, Joseph C.; Reichert, Marcel J. M.; Wyanski, David M.; Tishler, Michelle S.; Lindeman, Kenyon C.; Lowerre-Barbieri, Susan K.; Switzer, Theodore S.; Solomon, Justin J.; McCain, Kyle; Marhefka, Mark; Sedberry, George R."
"A Comparison of Size Structure, Age, and Growth of Red Snapper from Artificial and Natural Habitats in the Western Gulf of Mexico","Streich, Matthew K.; Ajemian, Matthew J.; Wetz, Jennifer J.; Williams, Jason A.; Shipley, J. Brooke; Stunz, Gregory W."
Stone Crab Menippe spp. Populations on Louisiana's Nearshore Oil and Gas Platforms: Higher Density and Size at Maturity on a Sand Shoal,"Reeves, David B.; Munnelly, Ryan T.; Chesney, Edward J.; Baltz, Donald M.; Marx, Brian D."
"Movement patterns of gray triggerfish, Balistes capriscus, around artificial reefs in the northern Gulf of Mexico","Herbig, J. L.; Szedlmayer, S. T."
Short-Term Discard Mortality Estimates for Gray Snapper in a West-Central Florida Estuary and Adjacent Nearshore Gulf of Mexico Waters,"Flaherty-Walia, Kerry E.; Winner, Brent L.; Tyler-Jedlund, Amanda J.; Davis, John P."
Reducing bycatch in the United States Gulf of Mexico shrimp trawl fishery with an emphasis on red snapper bycatch reduction,"Parsons, Glenn R.; Foster, Daniel G."
"The role of oil and gas platforms in providing habitat for northern gulf of Mexico red snapper, Lutjanus campechanus","Welson, CA; Nieland, DL"
"Red snapper (Lutjanus campechanus) associated with a small artificial structure in the Mississippi sound, a northern Gulf of Mexico estuary","Franks, JS; Hendon, JR; Garber, NM"
